symbol,bid_liquidity,ask_liquidity,24h_quote_volume,relative_spread,liquidity_score
TRXETH,26627.0,25543.0,364.11967199,0.0004112687641375224,348378.1974939131
POWRBTC,105056.0,62016.0,1.5260863,0.0035398230088495236,30927372.84909802
POWRETH,36842.0,28592.0,16.3413905,0.0023094688221709566,1733813.4107987515
XRPBTC,233577.0,217654.0,538.33070393,0.0003754458419372334,2232556.604567169
XRPETH,6508.0,3106.0,1861.21505087,0.0007368291784353508,7010.366871488792
ENJBTC,105906.90000000001,111714.6,1.39250543,0.005089058524173195,30709126.031916875
STORJBTC,42906.0,21941.0,2.2352172,0.0039138943248531914,7412437.815886598
BNBUSDT,26.216,66.65,241269251.92883,1.4905239937086332e-05,0.0258235408084389
KMDBTC,43828.0,47272.0,0.96776988,0.006896551724138011,13649422.525941651
NULSBTC,17711.0,22062.0,0.12351822,0.005698005698005763,56511189.19945511
BATBTC,311413.0,271421.0,2.46743776,0.004056795131845803,58225817.61900303
NEOUSDT,15283.970000000001,10178.81,18578687.8091,0.0007307270734380554,1.87557995419531
LSKBTC,9445.3,15561.6,9.87845309,0.0019120458891013201,1323953.1109622475
MANABTC,92057.0,51198.0,2.62661824,0.0020060180541624684,27188045.98722374
MANAETH,21244.0,19046.0,17.3574481,0.0006555227794166007,3540981.0616111537
ADXBTC,137316.0,76912.0,1.33090115,0.004914004914004867,32756300.496096507
ADXETH,41014.0,12464.0,48.80962692,0.0011218847664074183,976610.5642202378
ADABTC,676150.5,429068.3,60.31657598,0.0010126582278480916,18094587.553542532
ADAETH,13343.9,12923.3,386.79242255,0.0003309614429917201,205191.05383917267
XLMBTC,2163965.0,810517.0,24.48800389,0.0022497187851518346,53992038.507472344
XLMETH,8881.0,6037.0,560.48513022,0.0005888847994112093,45197.68212236507
LTCETH,63.769,58.641,270.80765983,0.0012646221941194553,357.4334180974335
LTCUSDT,974.975,1456.143,67793963.81976,0.0001048932710967128,0.3418750305647816
LTCBNB,13.664,62.181000000000004,104.442414,0.0021119324181625813,343.8507989675596
ICXBTC,114597.0,53262.0,0.42838483,0.005333333333333282,73470301.22425275
ELFBTC,57474.0,60074.0,0.72856689,0.00423728813559318,38076569.74365149
ELFETH,46566.0,47945.0,15.4200879,0.003461405330564105,1770692.1048096505
RLCBTC,4618.9,6017.900000000001,0.44249045,0.0019860973187686005,12103377.14633175
RLCETH,843.4,3453.7000000000003,12.12022972,0.0032456994482311726,109233.61525196968
PIVXBTC,67763.0,34182.0,0.63449808,0.007246376811594287,22172502.08227555
STEEMBTC,197364.0,142041.0,1.54973854,0.007434944237918144,29456564.008532975
STEEMETH,86326.0,79343.0,12.3491372,0.0012158054711244848,11034192.129634382
ZILBTC,65302170.0,35479856.0,1.09293463,0.04651162790697679,1982564647.0731719
ZILETH,1166779.0,2256418.0,13.17421689,0.001554001554001539,167207454.3703691
ONTBTC,173257.0,58826.0,11.71053869,0.007326007326007411,2705198.3122733384
QTUMUSDT,9832.0,11675.1,3170592.7405,0.000337211262856292,20.115893231976795
WANBTC,109062.0,67762.0,0.29481844,0.009756097560975724,61476683.751531236
SYSBTC,532371.0,207199.0,0.34882851,0.009302325581395458,227916505.44847688
ADAUSDT,202690.0,462897.4,253351228.614,0.0001099082266307512,23.902970560001563
ADABNB,6839.0,6301.799999999999,359.9150341,0.0014727540500736737,24790.85993812833
XRPUSDT,46901.0,120252.0,1169918744.9167,4.082882515064245e-05,3.499383927541788
BTCTUSD,0.00123,0.015229999999999999,1415092.6200556,0.0003389680520981021,3.4315173349757006e-05
ETHTUSD,0.6836,0.36410000000000003,587849.503256,0.0008484064099598677,0.002100713601054273
ZENBTC,523.42,171.84,5.87610634,0.0014067995310668572,84105.69086694258
EOSUSDT,44666.0,25282.4,16487083.1689,0.00013626762962456768,31.13445405360349
THETABTC,4088.2,1737.9,5.92603399,0.001405481377371657,699501.5818328565
XRPBNB,2462.0,5932.0,1072.5902855,0.0012589288157858736,6216.328139504708
TUSDUSDT,134155.0,47004.0,1293445.5978,9.99750062484269e-05,1400.9424908030708
IOTAUSDT,531430.0,413385.0,30876045.1541,0.00032910975810429154,92.97888907637845
XLMUSDT,771088.0,757083.0,87085918.5161,0.00024476808224218455,71.69175828745476
IOTXBTC,12518872.0,12493409.0,0.7999466,0.02739726027397263,1141261499.8301127
IOTXETH,410605.0,159438.0,14.14051217,0.0008845643520566036,45573569.3129428
DATABTC,3095920.0,1220982.0,0.52683375,0.023529411764705906,348247117.80518967
ONTUSDT,73825.0,68461.0,42279390.2097,0.0003984857541342458,8.445408394705723
TRXBNB,93557.0,29311.0,287.1004623,0.0012217470983506712,350286.64598565345
TRXUSDT,4564849.8,3977659.9,254517311.61156,0.00045589240939146,73.62169161815001
ETCUSDT,14329.25,7058.63,27248201.9147,0.00042274360600302527,1.856747476342573
ETCBNB,353.79,181.96,17.8729328,0.002832861189801781,10581.34958130624
ICXUSDT,160731.7,198638.5,2616074.9889,0.0005805515239478475,236.61981102467487
SCETH,1807766.0,3831319.0,8.0553586,0.010989010989011,63703772.914591216
DENTETH,33458062.0,78656936.0,46.26687848,0.026666666666666693,90870890.00001185
ARDRBTC,357768.0,166678.0,0.65612024,0.009569377990430531,83528298.10584797
NULSUSDT,80319.0,52316.0,1247457.2684,0.0009289363678588714,114.45809096380691
HOTETH,15953230.0,15692909.0,18.20935464,0.015267175572519097,113832815.35671152
VETBTC,64432969.0,49569292.0,8.05920406,0.021978021978022,643624709.9443706
VETETH,404213.0,373209.0,94.36888497,0.0014471780028943422,5692539.4654263565
VETUSDT,1648191.9,1101673.1,27478009.425943,0.00024093482712916813,415.361771865785
VETBNB,538137.0,529281.0,177.57383365,0.0058092625463934695,1034747.8833067267
RVNBTC,61678196.0,27429118.0,2.90437823,0.051282051282051204,598266646.2143269
BNBTUSD,0.40599999999999997,2.3089999999999997,157640.94224,0.00025374081122423836,0.06787510085199647
XRPTUSD,7282.0,3320.0,383943.4908,0.002368893971573193,11.656679829373827
BNBUSDC,48.274,17.801000000000002,11497795.37416,0.00020910503046956978,0.027482618909848603
BTCUSDC,0.5631,0.6732,519341848.7458038,1.0876142322328629e-07,0.021887475231114242
ETHUSDC,6.6686000000000005,4.6248,306098909.647308,3.3315509536458925e-06,0.01107430468972211
XRPUSDC,16190.0,5600.0,121616652.7388,4.090063191466776e-05,4.380605723012751
EOSUSDC,14036.5,7849.2,588376.42466,0.0015016039860760218,24.771355181127355
XLMUSDC,79949.0,21455.0,1998025.0194,0.0007352040191153595,69.03133811010792
USDCUSDT,49229695.0,26508221.0,1177734145.1845,9.99550202408806e-05,643.3709880283562
TRXXRP,35330.4,85790.1,255073.16328,0.0011166945840312996,425.22469379083196
LINKUSDT,66610.23,56522.8,148116827.9304,0.0005430355688298432,1.5308826006692093
LINKUSDC,2617.92,6542.57,7063447.2543,0.0005430355688298432,2.388216649416902
LTCUSDC,235.913,202.55800000000002,5587676.27051,0.0003160056881023978,0.24832173739608993
TRXUSDC,149958.0,124604.8,1836926.24665,0.00045630846452209326,327.56044359278263
ONGBTC,53429.0,42024.0,2.64226157,0.0028050490883591386,12878738.004730878
ONGUSDT,93806.0,118335.0,9736730.764,0.0006105006105005433,35.68825783750903
HOTUSDT,29693713.0,26146514.0,4132493.53726,0.0005056890012642896,26720.924762946073
ZILUSDT,3400583.9,2835410.7,4854166.783158,0.0005180005180004968,2480.052316510742
ZRXUSDT,173876.0,98473.0,6765924.5044,0.00022555543024695835,178.46183337028089
FETBNB,21075.5,4347.4,430.0845423,0.001127395715896307,52431.81300914998
FETBTC,50081.2,63765.5,13.1225022,0.0015479876160990563,5604492.731576811
FETUSDT,235243.1,267149.0,106225134.7554,0.000842105263157802,5.616284885152736
BATUSDT,286250.0,199740.0,5325865.203,0.0004412089124201047,206.8201678066045
ZECUSDT,715.753,295.422,6252436.89658,0.0004294610264117677,0.37657652951097514
IOSTUSDT,1692002.0,581828.0,8132749.60419,0.00031402103940954593,890.3522163367237
CELRBTC,79316448.0,12078740.0,0.24378203,0.060606060606060504,6185938323.673826
CELRUSDT,1736041.8,1976654.3,1919931.280742,0.0006642311524411377,2911.283354052696
ADAUSDC,100240.6,71188.3,34227670.05605,0.00011024750565017252,45.429497097051836
NEOUSDC,623.96,843.05,410338.3032,0.0014662756598240157,2.438234042977885
DASHUSDT,784.888,1364.014,5558374.18878,0.00029407440082334984,1.3146544300223393
THETAUSDT,79613.3,37888.6,13695669.3629,0.000510073960724362,16.820096108190214
ENJUSDT,195610.2,152929.1,3264583.74743,0.0005550929780737663,192.33494911698008
ATOMBTC,20816.78,13217.8,8.12590144,0.001518602885345519,2758065.809126951
ATOMUSDT,21266.75,14434.91,27885570.9678,0.0003303600925007895,3.8754424266514453
ATOMUSDC,1262.16,1273.78,973425.43343,0.0008265145879824602,3.15199675355586
PHBBTC,6338.8,8364.9,0.73815732,0.0029629629629629346,6722819.9403347345
TFUELBTC,6257089.0,3817350.0,7.86624757,0.013986013986014002,91571283.77793978
TFUELUSDT,55422.0,45118.0,14705487.38609,0.0007638835841416926,8.950190533943925
ONEBTC,57120871.0,26596977.0,1.88549937,0.04255319148936164,1043420888.546891
ONEUSDT,5363035.8,4510785.8,8482285.049845,0.00045945325063172953,2533.5593635577684
ALGOBTC,708859.0,552461.0,10.00279528,0.005464480874316887,23075705.69413895
ALGOUSDT,467809.0,377729.0,39081899.0086,0.0002973977695166959,72.74778342717386
ALGOUSDC,50566.0,55774.0,4173832.8976,0.0005952380952381949,42.80267188049059
DOGEBTC,14191276.0,18163991.0,192.15158534,0.0028612303290414605,58850234.290240325
DOGEUSDT,413173.0,24141.0,539480347.82787,3.113082730176668e-05,26.039167175498434
DOGEUSDC,92712.0,136373.0,29365558.47167,0.00037357574248181617,20.88236682977503
DUSKBTC,86946.0,61494.0,0.39584107,0.004796163069544319,78187288.65097372
DUSKUSDT,138489.0,114878.0,2697786.9812,0.0010432968179447354,90.01906792209745
ANKRBTC,14572368.0,7796584.0,1.09883812,0.02816901408450707,722670411.1794003
ANKRUSDT,1571665.5,880238.2999999999,5488554.090392,0.0003060443764346768,1459.691484233026
ONTUSDC,27931.0,24946.0,1040132.1922,0.005568814638027098,9.12883814170572
WINBNB,888226021.0,986834594.0,26.12224508,0.07407407407407415,969033030.0851758
WINUSDT,12045845.0,22236208.0,2463902.43966315,0.00022109219544553613,62931.763540188615
COSUSDT,872505.5,1439274.7,3347069.8865621,0.000467107824056115,1478.6473779257667
MTLUSDT,35900.8,11315.9,4572121.7124,0.0008572653236177555,12.046547317543334
DENTUSDT,27069257.0,33909100.0,3013410.950073,0.0017905102954342423,11301.615660377869
WANUSDT,26015.0,46897.0,571809.0965,0.0010598834128246197,120.30671149002617
FUNUSDT,311650.0,352697.0,1693495.952021,0.000462000462000323,849.1187001565394
CVCUSDT,185492.0,239728.0,2332176.7948,0.0012586532410321317,144.8592108253792
WINTRX,180366136.7,99974871.4,754670.97175584,0.0007270083605961646,510963.14960196643
CHZBNB,428228.0,641292.0,148.8645775,0.002667852378834982,2692996.234558722
CHZBTC,3317194.0,3147777.0,8.56994122,0.012269938650306761,61481767.84111005
CHZUSDT,2112192.0,1652129.0,12622975.6025,0.001327140013271254,224.70263453084357
BANDBTC,1082.5,5399.4,0.28630287,0.001500375093773429,15089567.03787161
BANDUSDT,33401.8,29116.8,1580615.7421,0.0008159934720521337,48.472593470577486
XTZBTC,11515.7,13023.0,8.16357016,0.0015455950540958121,1944803.3873454393
XTZUSDT,130516.5,117264.0,17647601.4704,0.0008399832003360872,16.715171506152608
RVNUSDT,2821045.1,2083458.0,4035048.145643,0.0005560189046427352,2186.033104679285
HBARBNB,73597.0,36638.0,217.71444983,0.0015135080594303164,334539.5852543391
HBARBTC,5065894.0,4236448.0,48.86091145,0.0034662045060658247,54925820.811720155
HBARUSDT,59371.0,56914.0,117409279.87086,3.761590400404179e-05,26.329933936349125
NKNBTC,188506.0,121958.0,0.26107286,0.01169590643274855,101675340.74587443
NKNUSDT,614905.0,428452.0,1809717.5598,0.0012746972594009289,452.2880170264989
STXBNB,9060.2,5558.6,39.7179278,0.0023952095808382257,153667.35723811478
STXBTC,17253.5,20551.6,12.04753739,0.0006581112207963083,4768181.877375402
STXUSDT,195731.1,201109.3,20799933.282,0.0007150518412585713,26.681878825073525
KAVABTC,177164.80000000002,139218.0,1.60191943,0.0021253985122210214,92924840.42097013
KAVAUSDT,93367.2,107671.7,8425659.78274,0.0004621072088725358,51.633722559166834
ARPABTC,1832425.0,849636.0,0.75590122,0.021505376344086044,164989595.46592593
ARPAUSDT,433567.39999999997,472638.0,2178526.363657,0.0004689331770222553,887.0597334686834
IOTXUSDT,878961.0,315882.0,4083421.10368,0.00029372888823604417,996.1850346112027
RLCUSDT,19303.8,19574.1,2019301.3297,0.0005395198273537156,35.685703064781144
CTXCBTC,107694.0,65251.0,5.10286214,0.007380073800737937,4592334.038638211
CTXCUSDT,31298.0,30673.0,3401721.0075,0.0008006405124099508,22.753711673986476
BCHBNB,34.968,32.307,93.425996,0.0032679738562091535,220.34712907957632
BCHBTC,81.717,33.018,16.2431775,0.0008972633467924026,7872.361026651529
BCHUSDT,476.3,461.214,27208013.7829,0.00024363503471804785,0.14142988325805597
BCHUSDC,35.472,32.248999999999995,1494370.5247,0.00024381323905879775,0.18586935228520757
TROYUSDT,16057273.0,17936499.0,10740890.940045,0.000373343289154427,8477.166262113304
VITEBTC,5140781.0,6265749.0,0.22625038,0.0869565217391303,579778451.6428225
VITEUSDT,1435130.4,624732.9,2342218.412246,0.0009657170449058033,910.6701731990577
FTTUSDT,264.36,95.72,18462501.878349,8.812125484665932e-05,0.22132362487623242
BTCTRY,0.27922,0.18988,522580754.14311,0.00013226267611278166,6.786951035670393e-06
BNBTRY,7.566,11.034,54678152.064,0.00016742706458499016,0.0020317648970646822
ETHTRY,2.8882,3.5705,404619640.4895,0.00011197894795778394,0.00014254821047545455
XRPTRY,23518.0,13380.0,950744194.81,0.0001145803494701245,0.3387107665318854
USDTTRY,1750837.0,6445773.0,5223310824.06,0.0002808594298553015,5.587266561004981
BTCEUR,0.09458,0.27048,51611065.9023221,6.200354529391158e-05,0.00011407878795367732
ETHEUR,5.6319,3.7597,16658836.743352,0.0002173078947278635,0.002594295310625784
BNBEUR,4.09,3.753,1477925.81671,0.00010661711509325192,0.049774012497550466
XRPEUR,6700.0,8856.0,12013703.2294,0.0003752110562189894,3.4510035644314865
EURUSDT,348334.1,143838.30000000002,47139965.29904,9.786172138766842e-05,106.68789502700324
OGNBTC,434291.0,281064.0,0.55640156,0.018867924528301907,68141101.1859851
OGNUSDT,483394.0,425358.0,2028983.7983,0.0010251153254741453,436.9121018820974
LSKUSDT,40859.5,44222.5,13975265.1548,0.0010368066355624687,5.871916424556333
BNTUSDT,7192.3,5102.9,791282.74751,0.000505603775174986,30.732195888911832
LTOBTC,164861.0,130606.0,0.40042139,0.007905138339920873,93343104.1233845
LTOUSDT,236754.0,101301.0,1194120.2772,0.0017167381974248228,164.9055302550791
MBLUSDT,1362428.0,1340026.0,2969699.202009,0.00122737035900586,741.430106796814
COTIBTC,621875.0,518206.0,4.25135891,0.009132420091324306,29364462.550163414
COTIUSDT,26275.0,33477.0,3404708.87669,0.0004963025460320065,35.361115784166124
STPTBTC,384986.0,586120.0,6.1288172,0.014184397163120581,11170666.503154954
STPTUSDT,39385.6,43366.9,18713827.180922,0.00046450414182863274,9.519823961945772
BTCZAR,0.035769999999999996,0.15,5271809.20779,0.0010430755214319864,3.37831501288176e-05
ETHZAR,4.0426,6.9756,419642.9514,0.0013477554687769983,0.01948137542827148
USDTZAR,53268.0,12852.0,14315814.11,0.0005198856251623609,8.884008902517476
DATAUSDT,56600.6,75335.6,1057604.299891,0.0007630675314764162,163.48495379401064
SOLBNB,257.77,326.42,2302.6341832,0.0011439466158246806,221.78052802563025
SOLBTC,823.552,567.599,341.08689208,5.234642866493399e-05,77915.1991635367
SOLUSDT,1563.277,2431.465,920556340.0485,5.68165677110929e-05,0.07637713577352545
CTSIBTC,241271.0,172407.0,0.24834479,0.006920415224913575,240699516.99006572
CTSIUSDT,177975.0,174073.0,1310104.8722,0.0007521624670930179,357.2598086853536
HIVEBTC,76713.0,55024.0,6.49290316,0.005830903790087408,3479629.2110415855
HIVEUSDT,42136.0,40169.0,26009251.78,0.0004217629692112568,7.502913065345453
CHRBTC,76900.0,71867.0,0.3662755,0.009615384615384524,42240794.156311706
CHRUSDT,106486.0,158786.0,3624012.7042,0.0005215123859191081,140.35796822967882
ARDRUSDT,11369.0,10837.0,1456973.41574,0.0008351602463722386,18.249412763990975
MDTBTC,1392554.0,458738.0,0.45345979,0.019417475728155362,210253566.2533604
MDTUSDT,66344.8,57119.8,1444413.720693,0.0010534077741492572,81.14361079579083
STMXUSDT,1775203.0,601428.0,5144754.378829,0.0003637686431430093,1269.9068095231778
KNCUSDT,14936.4,14715.2,5331663.69159,0.0005536587616500471,10.044844279618863
LRCUSDT,263349.0,197999.0,2894116.3248,0.001173708920187827,135.81641229543598
BTCUAH,0.03878,0.01409,22270011.57072,0.0011597923835524391,2.046956508529371e-06
USDTUAH,3748.0,2712.0,11986880.12,0.0004403346543373652,1.223893110895457
COMPBTC,70.122,134.566,0.69433411,0.0025906735751295967,113791.85735236034
COMPUSDT,219.51399999999998,144.527,4348943.57696,0.000421674045962487,0.19851332081513173
SCUSDT,519621.0,360833.0,2548408.415923,0.00018150467374537303,1903.486616466238
ZENUSDT,6705.95,8154.0599999999995,35871162.9415,0.0005080010160021113,0.8154720194798407
SXPBTC,63868.0,61598.0,0.35450158,0.006079027355623171,58220211.5996204
SNXBTC,2289.7000000000003,5345.599999999999,0.95988493,0.0022883295194507792,3476068.845043782
SNXUSDT,56872.7,51639.700000000004,7394976.9297,0.0006205398696866968,23.646825982332643
VTHOUSDT,1970940.0,2335461.0,1350539.057324,0.0008680555555556708,3673.328753504671
DGBUSDT,4673829.2,2131909.0,2261689.612285,0.0018050541516244753,1667.0629525467534
SXPUSDT,268944.9,281575.1,4117318.64611,0.0003298697014680669,405.3369494673477
MKRBTC,47.5762,12.7851,7.05409245,0.001419446415897742,6028.349663889327
MKRUSDT,146.2072,108.148,12862586.9535,0.0007707129094412332,0.025657814652144888
RUNEBNB,3490.7999999999997,1366.8,40.194193,0.001757083241818624,68780.62211623287
RUNEBTC,6980.3,4022.2,5.25302742,0.0015080681646808757,1388867.2505731587
DCRUSDT,470.24899999999997,821.481,1057097.33815,0.0015822784810126244,0.772278323421694
STORJUSDT,70846.0,70739.0,7579182.2197,0.0004243581582855463,44.02124699322022
FIOBTC,2202652.0,652104.0,0.24391803,0.02816901408450707,415483176.86888456
AVABTC,6019.5,11146.3,1.95263912,0.0018604651162790519,4725203.6515585575
MANAUSDT,203508.0,105744.0,8938430.8967,0.00021784119376971786,158.82220519535142
YFIBTC,2.04772,0.87978,1.06956038,0.0012338062924121265,2218.4243118653408
YFIUSDT,0.94368,2.4234,4151773.46154,0.00026784518548279097,0.003027861056594618
BALUSDT,14000.92,14872.380000000001,1186548.82645,0.0004404316229904822,55.250004204331596
KMDUSDT,41708.0,12345.0,999482.9512,0.0011221245558257808,48.1951510783606
BTCDAI,0.20729999999999998,0.15028,1042219.0171347,0.0005834378917546887,0.0005880572321068848
ETHDAI,3.5687,3.8672,2174230.324975,0.00014300894138457142,0.023914692448390257
USDTDAI,629668.9,1267739.1,7761770.01298,0.00010004502025910557,2443.4557623178775
JSTBTC,1711894.0,1747039.0,0.58753842,0.024691358024691384,238430001.7350352
JSTUSDT,369972.8,232089.0,8574481.516329,0.0005427408412482819,129.3721217297545
CRVBTC,66457.3,43640.5,6.52810414,0.0012202562538132893,13821033.666904839
CRVUSDT,57180.700000000004,105739.2,51210672.87928,0.00026493575307984897,12.008066443486916
SANDBTC,119020.0,123492.0,8.94920785,0.001734605377276653,15622407.071481898
SANDUSDT,310365.0,390482.0,41922788.9194,0.00018823529411762633,88.81207055806003
NMRBTC,421.48,431.34000000000003,0.83324842,0.0014044943820225061,728723.6620262482
NMRUSDT,4718.87,1201.23,2228591.7769,0.0015243902439025419,1.7426186528435712
DOTBNB,10286.63,2249.03,98.9326742,0.002166847237269684,58476.20249610353
DOTBTC,32422.16,14236.45,19.81375173,0.001489203276247042,1581288.4425903466
DOTUSDT,39883.75,20868.72,59863970.05727,0.0001615900460532171,6.280349603195359
LUNAUSDT,160613.1,190093.52,8500823.787873,0.0002676301351531888,154.15156440479805
IDEXBTC,670884.0,681374.0,2.19815905,0.016000000000000018,38448594.06329123
RSRUSDT,530781.6,578728.2,16809618.8775863,0.000253132514871642,260.75061527674114
PAXGBTC,4.1609,1.5519,6.58795793,0.0010371650821088601,836.0847764754257
PAXGUSDT,61.3541,21.8794,5654203.7923,0.0003753049352598987,0.039223145980698156
TRBBTC,122.431,179.189,0.28157301,0.003478260869565302,307968.9704634613
TRBUSDT,1022.799,929.369,8754506.82899,0.0001888752478988595,1.1806208708146202
WBTCBTC,17.83797,384.17091,242.62929545,0.00010013518249635906,16546.48369099257
WBTCETH,0.15213000000000002,0.06125,187.545875,0.00359653424881476,0.31634574255983716
SUSHIBTC,8950.5,4291.9,6.04115892,0.0007064641469445358,3102818.093055592
SUSHIUSDT,201556.3,78551.4,13030054.929,0.0007671653241274353,28.021400442245145
KSMBTC,57.114999999999995,116.071,0.66259651,0.0013050570962478156,200278.40548090838
KSMUSDT,3290.64,2654.907,3837780.10259,0.00035429583702397034,4.372659704023217
EGLDBNB,252.89,918.95,483.0052658,0.0032898344116680405,737.4666983737394
EGLDBTC,130.05,256.59,7.06182697,0.0012048192771084631,45443.08453935287
EGLDUSDT,1551.65,2070.72,9724507.0343,0.0003272786777940766,1.1381709629046428
DIABTC,28864.600000000002,21655.3,0.2272714,0.002945508100147247,75467067.34767403
DIAUSDT,13644.0,7789.0,1188783.20235,0.0008001920460909737,22.531290858631262
RUNEUSDT,65928.1,72389.7,86339677.3433,0.00032792261026394156,4.885356814838484
FIOUSDT,322113.0,368242.0,1777136.57737,0.0006062443164595084,640.772682865646
UMABTC,1177.3,2640.7999999999997,0.3153437,0.0012167917258161841,9950545.547604745
UMAUSDT,21881.6,25745.8,2586035.8668,0.00044062568847758976,41.79771274161196
LINKTRY,176.12,657.37,12264091.716,0.0004558231406213698,0.14909690724301472
BELBTC,12925.9,13199.9,0.35753665,0.0037523452157598143,19473599.97919113
BELUSDT,20237.4,20720.8,1308912.36012,0.0006114338122898653,51.177709173633026
WINGUSDT,77.05,366.69,6645194.09975,0.0009719117504130416,0.06870590672696623
UNIBTC,6363.02,3612.03,7.39036593,0.0007504690431517847,1798524.491331011
UNIUSDT,2776.9,3273.93,52475637.15425,0.0002446084226833637,0.4713959249118387
OXTBTC,612641.0,481864.0,0.54689864,0.008968609865470956,223144287.76052284
OXTUSDT,352669.0,269222.0,2177164.3699,0.0019512195121950424,146.39185810056784
SUNUSDT,1706777.0,1749884.0,2664651.84443,0.0004733727810650695,2740.3941635993806
AVAXBNB,351.07,90.83,73.0350341,0.000999100809271684,6055.966365325314
AVAXBTC,4256.33,2913.32,42.00572079,0.0005485463521666228,311154.56904895604
AVAXUSDT,23609.829999999998,17305.14,98323507.0284,0.00029784065524938227,1.397143124027792
FLMBTC,704198.0,251413.0,0.27019524,0.014814814814814673,238730121.59651896
FLMUSDT,694582.0,478725.0,1551860.2345,0.0016116035455278463,469.13824925383716
SCRTBTC,62203.5,66029.0,0.89958187,0.00473933649289095,30077370.834519222
CAKEBNB,11617.23,7872.57,97.46362427,0.004037894082932129,49523.33721346061
SXPTRY,16860.8,14166.4,8627089.4241,0.0009276437847866221,3.8770111164681733
UTKUSDT,54115.0,51794.0,4280524.54049,0.000433056658246153,57.133542907334025
XVSBNB,1033.86,594.5699999999999,336.4231467,0.0008492569002124269,5699.596902913534
XVSBTC,1438.06,553.46,2.63041197,0.001166180758017521,649224.691598388
XVSUSDT,10565.93,5415.96,11542084.0233,0.0025348542458809202,0.5462493248422248
ALPHABTC,455491.0,296897.0,0.84987724,0.013793103448275876,64183540.20164129
ALPHAUSDT,1169280.0,1002847.0,2051290.8932,0.0015048908954101256,703.6439328447942
VIDTBTC,10185689.0,829525.0,0.35532757,0.03508771929824546,883504758.7216533
BTCBRL,0.10547,0.25512,99008858.0908,0.00014746209735518734,2.4697854075791726e-05
USDTBRL,206155.2,422347.3,205130823.4759,0.0001636259510758953,18.72508949977472
AAVEBTC,99.901,43.408,23.35087661,0.0010386013501818931,5909.100736182098
AAVEETH,10.498,5.789,1742.7291934,0.0006785027705528736,13.773983698047894
AAVEUSDT,58.694,19.986,66340466.55564,3.760883055337974e-05,0.03153522983211586
NEARBNB,2142.6,1867.3999999999999,76.5539626,0.005476208095907601,9565.259441103304
NEARBTC,5990.7,1908.0,11.3397274,0.0012207527975585516,570591.472066577
NEARUSDT,55267.8,48602.1,75451577.8355,0.00022101889711577722,6.228622065060738
